county,fips_county,dcedregion,Lat,Long_,year,month,JH_cases,Labor_Force,Employed,Unemployed,Unemployment_Rate
Forest,42053,6: NW Pa.,41.51095103,-79.23229292,2020,Jul,2,"1,800","1,600",200,13.60%
Franklin,42055,3: SC Pa.,39.92956518,-77.72157791,2020,Jul,343,"77,800","69,300","8,500",10.90%
Fulton,42057,4: Cent Pa.,39.92913544,-78.11163677,2020,Jul,4,"8,500","7,100","1,400",16.80%
Greene,42059,5: SW Pa.,39.85746531,-80.22357106,2020,Jul,66,"16,600","14,300","2,300",13.60%
Huntingdon,42061,4: Cent Pa.,40.42162652,-77.97673273,2020,Jul,35,"19,900","17,000","2,900",14.60%
Indiana,42063,5: SW Pa.,40.65241041,-79.08963285,2020,Jul,148,"38,200","33,300","4,900",12.80%
Jefferson,42065,6: NW Pa.,41.12913106,-78.9986361,2020,Jul,35,"20,200","17,900","2,400",11.60%
Juniata,42067,4: Cent Pa.,40.53358749,-77.3997513,2020,Jul,14,"12,200","11,200","1,000",8.50%
Lackawanna,42069,2: NE Pa.,41.43564672,-75.60379201,2020,Jul,191,"101,000","87,300","13,600",13.50%
Lancaster,42071,3: SC Pa.,40.03904563,-76.24770128,2020,Jul,"1,083","295,200","265,100","30,100",10.20%
Lawrence,42073,5: SW Pa.,40.99206278,-80.33393706,2020,Jul,236,"39,700","34,300","5,400",13.60%
Lebanon,42075,3: SC Pa.,40.36680311,-76.45651841,2020,Jul,221,"72,600","64,600","7,900",11.00%
Lehigh,42077,2: NE Pa.,40.6154815,-75.59435245,2020,Jul,575,"193,200","167,600","25,600",13.30%
Luzerne,42079,2: NE Pa.,41.17823008,-75.98447579,2020,Jul,342,"152,400","129,800","22,600",14.80%
Lycoming,42081,4: Cent Pa.,41.34310539,-77.06629984,2020,Jul,143,"52,600","46,300","6,400",12.10%
McKean,42083,6: NW Pa.,41.80938602,-78.56478358,2020,Jul,11,"17,100","14,900","2,200",12.80%
Mercer,42085,6: NW Pa.,41.30248872,-80.25816981,2020,Jul,191,"47,300","41,100","6,300",13.20%
Mifflin,42087,4: Cent Pa.,40.61116939,-77.61070738,2020,Jul,37,"20,900","18,600","2,300",11.00%
Monroe,42089,2: NE Pa.,41.05934058,-75.34031025,2020,Jul,159,"81,300","68,700","12,700",15.60%
Montgomery,42091,1: SE Pa.,40.21053671,-75.36652296,2020,Jul,"1,313","444,800","395,300","49,400",11.10%
Montour,42093,4: Cent Pa.,41.03023987,-76.66345939,2020,Jul,20,"9,100","8,300",700,8.00%
Northampton,42095,2: NE Pa.,40.75182733,-75.30471829,2020,Jul,414,"160,600","140,300","20,300",12.60%
Northumberland,42097,4: Cent Pa.,40.84785433,-76.70798222,2020,Jul,97,"41,900","36,800","5,100",12.10%
Perry,42099,3: SC Pa.,40.40206612,-77.26297447,2020,Jul,27,"24,500","22,400","2,200",8.80%
Philadelphia,42101,1: SE Pa.,40.00338507,-75.1379271,2020,Jul,"4,221","748,500","613,200","135,300",18.10%
Pike,42103,2: NE Pa.,41.33155042,-75.03208106,2020,Jul,28,"24,900","21,300","3,600",14.40%
Potter,42105,6: NW Pa.,41.74471626,-77.89559864,2020,Jul,5,"7,100","6,200",800,11.70%
Schuylkill,42107,2: NE Pa.,40.70497338,-76.2150785,2020,Jul,139,"66,200","57,900","8,300",12.50%
Snyder,42109,4: Cent Pa.,40.77129231,-77.06840691,2020,Jul,27,"19,200","17,500","1,800",9.20%
Somerset,42111,4: Cent Pa.,39.97172723,-79.02699593,2020,Jul,59,"32,800","28,900","3,900",12.00%
Sullivan,42113,2: NE Pa.,41.44634738,-76.51246591,2020,Jul,5,"2,600","2,300",300,11.50%
Susquehanna,42115,2: NE Pa.,41.82147784,-75.80071959,2020,Jul,27,"19,500","17,700","1,800",9.40%
Tioga,42117,2: NE Pa.,41.77255149,-77.25433032,2020,Jul,10,"18,900","16,600","2,300",12.40%
Union,42119,4: Cent Pa.,40.96188846,-77.05996014,2020,Jul,40,"18,900","17,100","1,800",9.50%
Venango,42121,6: NW Pa.,41.40323442,-79.75845449,2020,Jul,44,"21,900","19,300","2,600",12.10%
Warren,42123,6: NW Pa.,41.81304978,-79.26969577,2020,Jul,9,"18,600","16,500","2,100",11.30%
Washington,42125,5: SW Pa.,40.19208869,-80.24582867,2020,Jul,521,"106,000","92,200","13,800",13.00%
Wayne,42127,2: NE Pa.,41.64938475,-75.29956506,2020,Jul,18,"22,100","19,600","2,600",11.60%
Westmoreland,42129,5: SW Pa.,40.3137798,-79.46615476,2020,Jul,763,"178,100","156,000","22,100",12.40%
Wyoming,42131,2: NE Pa.,41.51955538,-76.01074915,2020,Jul,19,"12,800","11,400","1,400",11.10%
York,42133,3: SC Pa.,39.9210089,-76.73040131,2020,Jul,754,"235,100","209,500","25,700",10.90%
Adams,42001,3: SC Pa.,39.87140411,-77.21610347,2020,Aug,180,"54,600","50,600","3,900",7.20%
Allegheny,42003,5: SW Pa.,40.46809875,-79.98167747,2020,Aug,"2,253","632,200","562,400","69,700",11.00%
Armstrong,42005,5: SW Pa.,40.81665618,-79.46290811,2020,Aug,135,"31,300","27,800","3,400",11.00%
Beaver,42007,5: SW Pa.,40.6825484,-80.34921611,2020,Aug,399,"82,700","72,600","10,100",12.20%
Bedford,42009,4: Cent Pa.,40.00522157,-78.48998442,2020,Aug,42,"22,900","20,700","2,200",9.40%
Berks,42011,2: NE Pa.,40.41570541,-75.92457766,2020,Aug,904,"221,800","198,800","23,000",10.40%
Blair,42013,4: Cent Pa.,40.47961444,-78.34917412,2020,Aug,257,"57,900","52,500","5,400",9.30%
Bradford,42015,2: NE Pa.,41.78869215,-76.51570822,2020,Aug,19,"28,000","25,700","2,300",8.30%
Bucks,42017,1: SE Pa.,40.33682119,-75.10836643,2020,Aug,903,"333,400","300,700","32,700",9.80%
Butler,42019,5: SW Pa.,40.91152759,-79.91351055,2020,Aug,188,"95,300","87,000","8,300",8.70%
Cambria,42021,4: Cent Pa.,40.49527404,-78.71377428,2020,Aug,211,"55,100","49,300","5,900",10.60%
Cameron,42023,6: NW Pa.,41.43625568,-78.20376845,2020,Aug,3,"2,000","1,800",300,12.70%
Carbon,42025,2: NE Pa.,40.91545395,-75.7068525,2020,Aug,66,"31,300","27,900","3,400",10.80%
Centre,42027,4: Cent Pa.,40.92058903,-77.82200624,2020,Aug,129,"74,800","70,100","4,600",6.20%
Chester,42029,1: SE Pa.,39.97291773,-75.74768357,2020,Aug,793,"274,200","253,300","20,900",7.60%
Clarion,42031,6: NW Pa.,41.19265812,-79.42413524,2020,Aug,23,"16,300","15,000","1,300",8.30%
Clearfield,42033,6: NW Pa.,41.00110782,-78.47592663,2020,Aug,96,"35,500","32,100","3,400",9.70%
Clinton,42035,4: Cent Pa.,41.23255967,-77.63785995,2020,Aug,23,"17,600","16,000","1,600",8.90%
Columbia,42037,2: NE Pa.,41.04821986,-76.40565017,2020,Aug,208,"33,200","30,400","2,700",8.30%
Crawford,42039,6: NW Pa.,41.68447709,-80.10760592,2020,Aug,90,"36,500","32,800","3,700",10.10%
Cumberland,42041,3: SC Pa.,40.1625372,-77.26130755,2020,Aug,330,"130,800","121,100","9,700",7.40%
Dauphin,42043,3: SC Pa.,40.41377078,-76.77993242,2020,Aug,689,"146,000","131,000","15,000",10.30%
Delaware,42045,1: SE Pa.,39.91680171,-75.40243663,2020,Aug,"1,688","294,900","261,900","33,000",11.20%
Elk,42047,6: NW Pa.,41.42822061,-78.64524744,2020,Aug,21,"15,300","13,200","2,000",13.20%
Erie,42049,6: NW Pa.,41.99253829,-80.03301954,2020,Aug,426,"123,700","109,900","13,800",11.20%
Fayette,42051,5: SW Pa.,39.92041012,-79.64291195,2020,Aug,305,"56,200","48,800","7,400",13.20%
Forest,42053,6: NW Pa.,41.51095103,-79.23229292,2020,Aug,5,"1,800","1,600",200,11.50%
Franklin,42055,3: SC Pa.,39.92956518,-77.72157791,2020,Aug,246,"77,100","70,300","6,800",8.80%
Fulton,42057,4: Cent Pa.,39.92913544,-78.11163677,2020,Aug,12,"8,200","7,100","1,100",13.70%
Greene,42059,5: SW Pa.,39.85746531,-80.22357106,2020,Aug,33,"16,200","14,400","1,800",11.00%
Huntingdon,42061,4: Cent Pa.,40.42162652,-77.97673273,2020,Aug,77,"19,500","17,300","2,200",11.10%
Indiana,42063,5: SW Pa.,40.65241041,-79.08963285,2020,Aug,171,"37,500","33,600","3,800",10.30%
Jefferson,42065,6: NW Pa.,41.12913106,-78.9986361,2020,Aug,40,"20,000","18,000","1,900",9.80%
Juniata,42067,4: Cent Pa.,40.53358749,-77.3997513,2020,Aug,25,"12,100","11,300",800,7.00%
Lackawanna,42069,2: NE Pa.,41.43564672,-75.60379201,2020,Aug,191,"99,500","88,400","11,200",11.20%
Lancaster,42071,3: SC Pa.,40.03904563,-76.24770128,2020,Aug,"1,206","290,400","266,800","23,600",8.10%
Lawrence,42073,5: SW Pa.,40.99206278,-80.33393706,2020,Aug,121,"38,900","34,500","4,500",11.50%
Lebanon,42075,3: SC Pa.,40.36680311,-76.45651841,2020,Aug,165,"71,400","64,900","6,500",9.10%
Lehigh,42077,2: NE Pa.,40.6154815,-75.59435245,2020,Aug,394,"190,200","168,600","21,500",11.30%
Luzerne,42079,2: NE Pa.,41.17823008,-75.98447579,2020,Aug,526,"150,300","131,400","18,900",12.60%
Lycoming,42081,4: Cent Pa.,41.34310539,-77.06629984,2020,Aug,197,"52,200","46,900","5,300",10.20%
McKean,42083,6: NW Pa.,41.80938602,-78.56478358,2020,Aug,9,"16,800","15,100","1,700",10.20%
Mercer,42085,6: NW Pa.,41.30248872,-80.25816981,2020,Aug,215,"46,400","41,200","5,100",11.10%
Mifflin,42087,4: Cent Pa.,40.61116939,-77.61070738,2020,Aug,61,"20,700","18,800","1,900",9.10%
Monroe,42089,2: NE Pa.,41.05934058,-75.34031025,2020,Aug,134,"79,400","69,100","10,300",13.00%
Montgomery,42091,1: SE Pa.,40.21053671,-75.36652296,2020,Aug,"1,274","438,500","398,200","40,200",9.20%
Montour,42093,4: Cent Pa.,41.03023987,-76.66345939,2020,Aug,39,"9,000","8,400",600,6.50%
Northampton,42095,2: NE Pa.,40.75182733,-75.30471829,2020,Aug,290,"157,500","141,200","16,200",10.30%
Northumberland,42097,4: Cent Pa.,40.84785433,-76.70798222,2020,Aug,280,"41,500","37,200","4,300",10.30%
Perry,42099,3: SC Pa.,40.40206612,-77.26297447,2020,Aug,63,"24,300","22,500","1,700",7.20%
Philadelphia,42101,1: SE Pa.,40.00338507,-75.1379271,2020,Aug,"3,424","733,100","617,200","115,900",15.80%
Pike,42103,2: NE Pa.,41.33155042,-75.03208106,2020,Aug,18,"24,400","21,400","2,900",12.00%
Potter,42105,6: NW Pa.,41.74471626,-77.89559864,2020,Aug,5,"7,000","6,300",700,9.60%
Schuylkill,42107,2: NE Pa.,40.70497338,-76.2150785,2020,Aug,107,"65,200","58,300","6,800",10.50%
Snyder,42109,4: Cent Pa.,40.77129231,-77.06840691,2020,Aug,71,"19,000","17,700","1,300",7.10%
Somerset,42111,4: Cent Pa.,39.97172723,-79.02699593,2020,Aug,45,"32,400","29,200","3,300",10.10%
Sullivan,42113,2: NE Pa.,41.44634738,-76.51246591,2020,Aug,0,"2,500","2,300",200,9.20%
Susquehanna,42115,2: NE Pa.,41.82147784,-75.80071959,2020,Aug,58,"19,500","17,900","1,500",7.80%
Tioga,42117,2: NE Pa.,41.77255149,-77.25433032,2020,Aug,14,"18,700","16,800","1,900",10.00%
Union,42119,4: Cent Pa.,40.96188846,-77.05996014,2020,Aug,245,"18,800","17,500","1,300",7.10%
Venango,42121,6: NW Pa.,41.40323442,-79.75845449,2020,Aug,8,"21,600","19,400","2,200",10.10%
Warren,42123,6: NW Pa.,41.81304978,-79.26969577,2020,Aug,12,"18,300","16,600","1,700",9.10%
Washington,42125,5: SW Pa.,40.19208869,-80.24582867,2020,Aug,314,"104,000","92,700","11,300",10.80%
Wayne,42127,2: NE Pa.,41.64938475,-75.29956506,2020,Aug,17,"21,900","19,800","2,000",9.30%
Westmoreland,42129,5: SW Pa.,40.3137798,-79.46615476,2020,Aug,406,"174,800","156,900","17,900",10.20%
Wyoming,42131,2: NE Pa.,41.51955538,-76.01074915,2020,Aug,10,"12,700","11,600","1,200",9.10%
York,42133,3: SC Pa.,39.9210089,-76.73040131,2020,Aug,"1,099","232,200","211,200","20,900",9.00%
Adams,42001,3: SC Pa.,39.87140411,-77.21610347,2020,Sep,210,"55,600","52,800","2,800",5.10%
Allegheny,42003,5: SW Pa.,40.46809875,-79.98167747,2020,Sep,"2,001","639,600","588,100","51,400",8.00%
Armstrong,42005,5: SW Pa.,40.81665618,-79.46290811,2020,Sep,134,"31,500","29,000","2,500",7.80%
Beaver,42007,5: SW Pa.,40.6825484,-80.34921611,2020,Sep,313,"83,100","75,900","7,200",8.70%
Bedford,42009,4: Cent Pa.,40.00522157,-78.48998442,2020,Sep,75,"23,400","21,600","1,800",7.60%
Berks,42011,2: NE Pa.,40.41570541,-75.92457766,2020,Sep,"1,130","225,100","207,800","17,200",7.70%
Blair,42013,4: Cent Pa.,40.47961444,-78.34917412,2020,Sep,255,"58,400","54,500","3,900",6.70%
Bradford,42015,2: NE Pa.,41.78869215,-76.51570822,2020,Sep,69,"28,400","26,800","1,700",5.90%
Bucks,42017,1: SE Pa.,40.33682119,-75.10836643,2020,Sep,"1,088","336,600","312,300","24,300",7.20%
Butler,42019,5: SW Pa.,40.91152759,-79.91351055,2020,Sep,289,"96,900","90,900","6,000",6.20%
Cambria,42021,4: Cent Pa.,40.49527404,-78.71377428,2020,Sep,130,"56,600","52,500","4,100",7.30%
Cameron,42023,6: NW Pa.,41.43625568,-78.20376845,2020,Sep,0,"2,000","1,800",200,11.20%
Carbon,42025,2: NE Pa.,40.91545395,-75.7068525,2020,Sep,47,"31,500","29,100","2,400",7.70%
Centre,42027,4: Cent Pa.,40.92058903,-77.82200624,2020,Sep,"2,224","77,500","74,000","3,500",4.50%
Chester,42029,1: SE Pa.,39.97291773,-75.74768357,2020,Sep,"1,280","277,900","262,400","15,500",5.60%
Clarion,42031,6: NW Pa.,41.19265812,-79.42413524,2020,Sep,29,"17,000","16,000","1,000",5.80%
Clearfield,42033,6: NW Pa.,41.00110782,-78.47592663,2020,Sep,103,"35,700","33,200","2,500",7.00%
Clinton,42035,4: Cent Pa.,41.23255967,-77.63785995,2020,Sep,71,"17,900","16,700","1,200",6.60%
Columbia,42037,2: NE Pa.,41.04821986,-76.40565017,2020,Sep,254,"33,900","31,800","2,100",6.10%
Crawford,42039,6: NW Pa.,41.68447709,-80.10760592,2020,Sep,102,"36,900","34,200","2,700",7.40%
Cumberland,42041,3: SC Pa.,40.1625372,-77.26130755,2020,Sep,375,"132,700","125,500","7,200",5.40%
Dauphin,42043,3: SC Pa.,40.41377078,-76.77993242,2020,Sep,529,"147,100","135,900","11,100",7.60%
Delaware,42045,1: SE Pa.,39.91680171,-75.40243663,2020,Sep,"1,179","299,800","274,900","24,900",8.30%
Elk,42047,6: NW Pa.,41.42822061,-78.64524744,2020,Sep,9,"15,100","13,700","1,400",9.50%
Erie,42049,6: NW Pa.,41.99253829,-80.03301954,2020,Sep,218,"124,700","114,400","10,300",8.30%
Fayette,42051,5: SW Pa.,39.92041012,-79.64291195,2020,Sep,120,"56,500","50,900","5,500",9.80%
Forest,42053,6: NW Pa.,41.51095103,-79.23229292,2020,Sep,1,"1,800","1,600",100,7.80%
Franklin,42055,3: SC Pa.,39.92956518,-77.72157791,2020,Sep,281,"77,600","72,500","5,100",6.50%
Fulton,42057,4: Cent Pa.,39.92913544,-78.11163677,2020,Sep,18,"8,100","7,300",900,10.50%
Greene,42059,5: SW Pa.,39.85746531,-80.22357106,2020,Sep,50,"16,500","15,300","1,300",7.70%
Huntingdon,42061,4: Cent Pa.,40.42162652,-77.97673273,2020,Sep,53,"19,800","18,200","1,700",8.40%
Indiana,42063,5: SW Pa.,40.65241041,-79.08963285,2020,Sep,310,"39,000","36,300","2,700",6.90%
Jefferson,42065,6: NW Pa.,41.12913106,-78.9986361,2020,Sep,15,"20,000","18,700","1,400",6.80%
Juniata,42067,4: Cent Pa.,40.53358749,-77.3997513,2020,Sep,43,"12,300","11,700",600,4.90%
Lackawanna,42069,2: NE Pa.,41.43564672,-75.60379201,2020,Sep,509,"100,600","92,300","8,300",8.30%
Lancaster,42071,3: SC Pa.,40.03904563,-76.24770128,2020,Sep,"1,262","292,300","275,000","17,300",5.90%
Lawrence,42073,5: SW Pa.,40.99206278,-80.33393706,2020,Sep,72,"39,500","36,100","3,400",8.60%
Lebanon,42075,3: SC Pa.,40.36680311,-76.45651841,2020,Sep,350,"72,500","67,700","4,800",6.60%
Lehigh,42077,2: NE Pa.,40.6154815,-75.59435245,2020,Sep,484,"191,800","176,000","15,800",8.20%
Luzerne,42079,2: NE Pa.,41.17823008,-75.98447579,2020,Sep,357,"152,000","137,200","14,800",9.70%
Lycoming,42081,4: Cent Pa.,41.34310539,-77.06629984,2020,Sep,187,"53,000","48,900","4,000",7.60%
McKean,42083,6: NW Pa.,41.80938602,-78.56478358,2020,Sep,22,"16,900","15,700","1,200",7.30%
Mercer,42085,6: NW Pa.,41.30248872,-80.25816981,2020,Sep,198,"46,700","42,800","4,000",8.50%
Mifflin,42087,4: Cent Pa.,40.61116939,-77.61070738,2020,Sep,68,"21,100","19,500","1,600",7.50%
Monroe,42089,2: NE Pa.,41.05934058,-75.34031025,2020,Sep,90,"79,700","71,800","7,900",9.90%
Montgomery,42091,1: SE Pa.,40.21053671,-75.36652296,2020,Sep,"1,250","443,700","413,800","29,900",6.70%
Montour,42093,4: Cent Pa.,41.03023987,-76.66345939,2020,Sep,53,"9,200","8,800",400,4.70%
Northampton,42095,2: NE Pa.,40.75182733,-75.30471829,2020,Sep,406,"159,200","147,300","11,800",7.40%
Northumberland,42097,4: Cent Pa.,40.84785433,-76.70798222,2020,Sep,386,"41,900","38,700","3,200",7.60%
Perry,42099,3: SC Pa.,40.40206612,-77.26297447,2020,Sep,59,"24,500","23,300","1,300",5.10%
Philadelphia,42101,1: SE Pa.,40.00338507,-75.1379271,2020,Sep,"3,448","736,700","648,400","88,300",12.00%
Pike,42103,2: NE Pa.,41.33155042,-75.03208106,2020,Sep,38,"24,500","22,300","2,200",9.00%
Potter,42105,6: NW Pa.,41.74471626,-77.89559864,2020,Sep,4,"7,100","6,600",500,7.40%
Schuylkill,42107,2: NE Pa.,40.70497338,-76.2150785,2020,Sep,201,"65,900","60,900","5,000",7.60%
Snyder,42109,4: Cent Pa.,40.77129231,-77.06840691,2020,Sep,178,"19,700","18,700","1,000",4.90%
Somerset,42111,4: Cent Pa.,39.97172723,-79.02699593,2020,Sep,55,"32,700","30,300","2,300",7.10%
Sullivan,42113,2: NE Pa.,41.44634738,-76.51246591,2020,Sep,3,"2,600","2,400",200,6.70%
Susquehanna,42115,2: NE Pa.,41.82147784,-75.80071959,2020,Sep,30,"19,600","18,400","1,200",5.90%
Tioga,42117,2: NE Pa.,41.77255149,-77.25433032,2020,Sep,29,"19,100","17,700","1,400",7.30%
Union,42119,4: Cent Pa.,40.96188846,-77.05996014,2020,Sep,95,"19,400","18,400","1,000",5.10%
Venango,42121,6: NW Pa.,41.40323442,-79.75845449,2020,Sep,18,"21,800","20,200","1,600",7.30%
Warren,42123,6: NW Pa.,41.81304978,-79.26969577,2020,Sep,17,"18,600","17,400","1,300",6.70%
Washington,42125,5: SW Pa.,40.19208869,-80.24582867,2020,Sep,321,"105,200","96,800","8,400",7.90%
Wayne,42127,2: NE Pa.,41.64938475,-75.29956506,2020,Sep,63,"21,000","19,500","1,500",7.30%
Westmoreland,42129,5: SW Pa.,40.3137798,-79.46615476,2020,Sep,462,"176,500","163,800","12,700",7.20%
Wyoming,42131,2: NE Pa.,41.51955538,-76.01074915,2020,Sep,11,"12,900","12,000",900,6.60%
York,42133,3: SC Pa.,39.9210089,-76.73040131,2020,Sep,"1,573","235,100","220,000","15,200",6.40%
Adams,42001,3: SC Pa.,39.87140411,-77.21610347,2020,Oct,327,"55,700","53,200","2,500",4.50%
Allegheny,42003,5: SW Pa.,40.46809875,-79.98167747,2020,Oct,"3,448","632,400","587,800","44,500",7.00%
Armstrong,42005,5: SW Pa.,40.81665618,-79.46290811,2020,Oct,321,"31,200","29,100","2,200",6.90%
Beaver,42007,5: SW Pa.,40.6825484,-80.34921611,2020,Oct,401,"82,300","75,900","6,400",7.70%
Bedford,42009,4: Cent Pa.,40.00522157,-78.48998442,2020,Oct,202,"23,400","21,900","1,500",6.60%
Berks,42011,2: NE Pa.,40.41570541,-75.92457766,2020,Oct,"2,376","222,500","207,400","15,100",6.80%
Blair,42013,4: Cent Pa.,40.47961444,-78.34917412,2020,Oct,660,"57,700","54,200","3,500",6.00%
Bradford,42015,2: NE Pa.,41.78869215,-76.51570822,2020,Oct,694,"28,400","26,800","1,600",5.60%
Bucks,42017,1: SE Pa.,40.33682119,-75.10836643,2020,Oct,"1,552","333,300","312,200","21,100",6.30%
Butler,42019,5: SW Pa.,40.91152759,-79.91351055,2020,Oct,766,"96,100","90,900","5,200",5.40%
Cambria,42021,4: Cent Pa.,40.49527404,-78.71377428,2020,Oct,612,"55,800","52,100","3,600",6.50%
Cameron,42023,6: NW Pa.,41.43625568,-78.20376845,2020,Oct,2,"2,000","1,800",200,7.60%
Carbon,42025,2: NE Pa.,40.91545395,-75.7068525,2020,Oct,142,"31,200","29,100","2,100",6.80%
Centre,42027,4: Cent Pa.,40.92058903,-77.82200624,2020,Oct,"1,562","76,600","73,500","3,200",4.20%
Chester,42029,1: SE Pa.,39.97291773,-75.74768357,2020,Oct,"1,240","276,800","263,300","13,500",4.90%
Clarion,42031,6: NW Pa.,41.19265812,-79.42413524,2020,Oct,117,"16,900","16,000",900,5.30%
Clearfield,42033,6: NW Pa.,41.00110782,-78.47592663,2020,Oct,167,"35,400","33,100","2,300",6.40%
Clinton,42035,4: Cent Pa.,41.23255967,-77.63785995,2020,Oct,70,"17,800","16,800","1,100",6.10%
Columbia,42037,2: NE Pa.,41.04821986,-76.40565017,2020,Oct,155,"33,700","31,800","1,900",5.50%
Crawford,42039,6: NW Pa.,41.68447709,-80.10760592,2020,Oct,255,"37,400","34,900","2,400",6.50%
Cumberland,42041,3: SC Pa.,40.1625372,-77.26130755,2020,Oct,646,"131,700","125,300","6,400",4.90%
Dauphin,42043,3: SC Pa.,40.41377078,-76.77993242,2020,Oct,"1,102","145,700","135,700","10,000",6.90%
Delaware,42045,1: SE Pa.,39.91680171,-75.40243663,2020,Oct,"2,352","298,300","276,500","21,700",7.30%
Elk,42047,6: NW Pa.,41.42822061,-78.64524744,2020,Oct,104,"14,800","13,600","1,200",8.20%
Erie,42049,6: NW Pa.,41.99253829,-80.03301954,2020,Oct,656,"122,900","113,500","9,400",7.70%
Fayette,42051,5: SW Pa.,39.92041012,-79.64291195,2020,Oct,249,"55,800","50,900","4,800",8.60%
Forest,42053,6: NW Pa.,41.51095103,-79.23229292,2020,Oct,4,"1,800","1,600",100,6.80%
Franklin,42055,3: SC Pa.,39.92956518,-77.72157791,2020,Oct,511,"77,000","72,500","4,500",5.80%
Fulton,42057,4: Cent Pa.,39.92913544,-78.11163677,2020,Oct,42,"8,100","7,300",800,9.90%
Greene,42059,5: SW Pa.,39.85746531,-80.22357106,2020,Oct,73,"16,500","15,300","1,200",7.10%
Huntingdon,42061,4: Cent Pa.,40.42162652,-77.97673273,2020,Oct,600,"19,800","18,300","1,500",7.80%
Indiana,42063,5: SW Pa.,40.65241041,-79.08963285,2020,Oct,460,"38,700","36,400","2,300",6.10%
Jefferson,42065,6: NW Pa.,41.12913106,-78.9986361,2020,Oct,105,"20,200","19,000","1,200",6.00%
Juniata,42067,4: Cent Pa.,40.53358749,-77.3997513,2020,Oct,51,"12,400","11,800",600,4.50%
Lackawanna,42069,2: NE Pa.,41.43564672,-75.60379201,2020,Oct,"1,252","100,200","92,700","7,500",7.50%
Lancaster,42071,3: SC Pa.,40.03904563,-76.24770128,2020,Oct,"1,884","289,500","274,500","15,000",5.20%
Lawrence,42073,5: SW Pa.,40.99206278,-80.33393706,2020,Oct,416,"39,400","36,400","3,000",7.60%
Lebanon,42075,3: SC Pa.,40.36680311,-76.45651841,2020,Oct,"1,115","72,100","67,900","4,200",5.90%
